Symbol,Security,SEC,GICS Sector,GICS Sub Industry,Headquarters,CIK
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment & Services,"Santa Clara, California",1090872
AA,Alcoa Inc,reports,Materials,Aluminum,"New York, New York",4281
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",6201
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",1158449
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",320193
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",1140859
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",1800
ACE,ACE Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",796343
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",6281
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7084
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",8670
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",769397
ADT,ADT Corp,reports,Industrials,Diversified Commercial Services,"Boca Raton, Florida",1546640
AEE,Ameren Corp,reports,Utilities,MultiUtilities,"St. Louis, Missouri",1002910
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",4904
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",1122304
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",4977
AGN,Allergan plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",884629
AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,"New York, New York",5272
AIV,Apartment Investment & Mgmt,reports,Financials,REITs,"Denver, Colorado",922864
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,"New York, New York",1267238
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",1086222
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",1579241
ALTR,Altera Corp,reports,Information Technology,Semiconductors,"San Jose, California",768251
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Cheshire, Connecticut",899866
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",6951
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",1004434
AMGN,Amgen Inc,reports,Health Care,Biotechnology,"Thousand Oaks, California",318154
AMP,Ameriprise Financial,reports,Financials,Diversified Financial Services,"Minneapolis, Minnesota",820027
AMT,American Tower Corp A,reports,Financials,Specialized REITs,"Boston, Massachusetts",1053507
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet Retail,"Seattle, Washington",1018724
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",350698
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",315293
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6769
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",773910
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
APH,Amphenol Corp A,reports,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",820313
ARG,Airgas Inc,reports,Materials,Industrial Gases,"Radnor, Pennsylvania",804212
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,"Santa Monica, California",718877
AVB,"AvalonBay Communities, Inc.",reports,Financials,Residential REITs,"Arlington, Virginia[3]",915912
AVGO,Avago Technologies,reports,Information Technology,Semiconductors,"San Jose, California",1441634
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",8818
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",4962
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",866787
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",12927
BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",70858
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",10456
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,"Union, New Jersey",886158
BBT,BB&T Corporation,reports,Financials,Banks,"Winston-Salem, North Carolina",92230
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",9892
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",10795
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",38777
BF-B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",808362
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",875045
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,"New York, New York",1390777
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",1364742
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",9389
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors & Services,"New York, New York",14272
BRCM,Broadcom Corporation,reports,Information Technology,Semiconductors,"Irvine, California",1054374
BRK-B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983
BSX,Boston Scientific,reports,Health Care,Health Care Equipment & Services,"Marlborough, Massachusetts[4]",885725
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",908255
BXLT,Baxalta,reports,Health Care,Biotechnology,"Deerfield, Illinois",1620546
BXP,Boston Properties,reports,Financials,REITs,"Boston, Massachusetts",1037540
C,Citigroup Inc.,reports,Financials,Banks,"New York, New York",831001
CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",356028
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",23217
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors & Services,"Dublin, Ohio",721371
CAM,Cameron International Corp.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",941548
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",18230
CB,Chubb Corp.,reports,Financials,Property & Casualty Insurance,"Warren, New Jersey",20171
CBG,CBRE Group,reports,Financials,Real Estate Services,"Los Angeles, California",1138118
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",813828
CCE,Coca-Cola Enterprises,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1491675
CCI,Crown Castle International Corp.,reports,Financials,REITs,"Houston, Texas",1051470
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097
CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",816284
CERN,Cerner,reports,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",804753
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",895126
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",701221
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",21665
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",21076
CMA,Comerica Inc.,reports,Financials,Banks,"Dallas, Texas",28412
CMCSA,Comcast A Corp,reports,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",1166691
CME,CME Group Inc.,reports,Financials,Diversified Financial Services,"Chicago, Illinois",1156375
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",1058090
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",26172
CMS,CMS Energy,reports,Utilities,MultiUtilities,"Jackson, Michigan",811156
CNP,CenterPoint Energy,reports,Utilities,MultiUtilities,"Houston, Texas",1130310
CNX,CONSOL Energy Inc.,reports,Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania",1070412
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",927628
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",858470
COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1116132
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",1137411
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165
COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",909832
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",16732
CPGX,Columbia Pipeline Group Inc,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1629995
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,"San Francisco, California",1108524
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",858877
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Services,"Falls Church, Virginia",1646383
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",277948
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",723254
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",18926
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",1058290
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",877890
CVC,Cablevision Systems Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Bethpage, New York",1053112
CVS,CVS Caremark Corp.,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",64803
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",93410
D,Dominion Resources,reports,Utilities,Electric Utilities,"Richmond, Virginia",715957
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",27904
DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,"Wilmington, Delaware",30554
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",315189
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",1393612
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",29534
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,"Madison, New Jersey",1022079
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",882184
DHR,Danaher Corp.,reports,Industrials,Industrial Machinery,Washington D.C,313616
DIS,The Walt Disney Company,reports,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",1001039
DISCA,Discovery Communications-A,reports,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",1437107
DISCK,Discovery Communications-C,reports,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",1437107
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",1521332
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",935703
DNB,Dun & Bradstreet,reports,Industrials,Data Processing Services,"Short Hills, New Jersey",1115222
DO,Diamond Offshore Drilling,reports,Energy,Oil & Gas Drilling,"Houston, Texas",949039
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",29905
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",29915
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",1418135
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",940944
DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,"Detroit, Michigan",936340
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",927066
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",712515
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",1065088
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",31462
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",1047862
EFX,Equifax Inc.,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",33185
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",827052
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",1001250
EMC,EMC Corp.,reports,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",790070
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",915389
EMR,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",32604
ENDP,Endo International,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1100962
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189
EQIX,Equinix,reports,Information Technology,Internet Software & Services,"Redwood City, California",1101239
EQR,Equity Residential,reports,Financials,REITs,"Chicago, Illinois",906107
EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",33213
ES,Eversource Energy,reports,Utilities,MultiUtilities,"Springfield, Massachusetts",72741
ESRX,Express Scripts,reports,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",1532063
ESS,Essex Property Trust Inc,reports,Financials,Residential REITs,"Palo Alto, California",920522
ESV,Ensco plc,reports,Energy,Oil & Gas Drilling,"London, United Kingdom",314808
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",1015780
ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",1551182
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",65984
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment & Services,"Irvine, California",1099800
EXC,Exelon Corp.,reports,Utilities,MultiUtilities,"Chicago, Illinois",1109357
EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",746515
EXPE,Expedia Inc.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",1324424
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",815556
FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",1326801
FCX,Freeport-McMoran Cp & Gld,reports,Materials,Diversified Metals & Mining,"Phoenix, Arizona",831259
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",1031296
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",1048695
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",1136893
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",798354
FITB,Fifth Third Bancorp,reports,Financials,Banks,"Cincinnati, Ohio",35527
FLIR,FLIR Systems,reports,Industrials,Aerospace & Defense,"Wilsonville, Oregon",354908
FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,"Irving, Texas",1124198
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",30625
FMC,FMC Corporation,reports,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",37785
FOSL,"Fossil, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas",883569
FOX,Twenty-First Century Fox Class B,reports,Consumer Discretionary,Publishing,"New York, New York",1308161
FOXA,Twenty-First Century Fox Class A,reports,Consumer Discretionary,Publishing,"New York, New York",1308161
FSLR,First Solar Inc,reports,Information Technology,Semiconductors,"Tempe, Arizona",1274494
FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1135152
FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",20520
GAS,AGL Resources Inc.,reports,Utilities,Gas Utilities,"Atlanta, Georgia",1004155
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",40545
GGP,General Growth Properties Inc.,reports,Financials,REITs,"Chicago, Illinois",895648
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",882095
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704
GLW,Corning Inc.,reports,Industrials,Construction & Engineering,"Corning, New York",24741
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858
GMCR,Keurig Green Mountain,reports,Consumer Staples,Packaged Foods & Meats,"Waterbury, Vermont",909954
GME,GameStop Corp.,reports,Consumer Discretionary,Computer & Electronics Retail,"Grapevine, Texas",1326380
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",1288776
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",1288776
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",40987
GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",39911
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",886982
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",42582
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,"Lake Forest, Illinois",277135
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012
HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",800459
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080
HBAN,Huntington Bancshares,reports,Financials,Banks,"Columbus, Ohio",49196
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",1359841
HCA,HCA Holdings,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",860730
HCN,Welltower Inc.,reports,Financials,REITs,"Toledo, Ohio",766704
HCP,HCP Inc.,reports,Financials,REITs,"Long Beach, California",765880
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",4447
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",793952
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",773840
HOT,Starwood Hotels & Resorts,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","White Plains, New York",316206
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",46765
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1645590
HPQ,HP Inc.,reports,Information Technology,Computer Hardware,"Palo Alto, California",47217
HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",12659
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,"Melbourne, Florida",202058
HSIC,Henry Schein,reports,Health Care,Health Care Distributors & Services,"Melville, New York",1000228
HST,Host Hotels & Resorts,reports,Financials,REITs,"Bethesda, Maryland",1070750
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",49071
IBM,International Bus. Machines,reports,Information Technology,IT Consulting & Services,"Armonk, New York",51143
ICE,Intercontinental Exchange,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",1571949
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",51253
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",1110803
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",50863
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",896878
IP,International Paper,reports,Materials,Paper Products,"Memphis, Tennessee",51434
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",51644
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",1466258
IRM,Iron Mountain Incorporated,reports,Industrials,Data Processing Services,"Boston, Massachusetts",1020569
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment & Services,"Sunnyvale, California",1035267
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",49826
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",914208
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",728535
JCI,Johnson Controls,reports,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",53669
JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,"Pasadena, California",52988
