Symbol,Security,SEC,GICS Sector,GICS Sub Industry,Headquarters,CIK
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",200406
JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,"Sunnyvale, California",1043604
JPM,JPMorgan Chase & Co.,reports,Financials,Banks,"New York, New York",19617
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",72333
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",55067
KEY,KeyCorp,reports,Financials,Banks,"Cleveland, Ohio",91576
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1545158
KIM,Kimco Realty,reports,Financials,REITs,"New Hyde Park, New York",879101
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",319201
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",55785
KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1506307
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1170010
KO,The Coca Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",21344
KORS,Michael Kors Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1530721
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",885639
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",54480
L,Loews Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",60086
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",701985
LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,"Carthage, Missouri",58492
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",920760
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,"Burlington, North Carolina",920148
LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,"New York, New York",1056239
LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,"Milpitas, California",791907
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478
LM,Legg Mason,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",704051
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",707549
LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",96223
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",92380
LVLT,Level 3 Communications,reports,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",794323
LYB,LyondellBasell,reports,Materials,Diversified Chemicals,"Rotterdam, Netherlands",1489393
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",794367
MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,"Harrison, New York",1141391
MAC,Macerich,reports,Financials,Retail REITs,"Santa Monica, California",912242
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",62996
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",63276
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",63908
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",827054
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors & Services,"San Francisco, California",927653
MCO,Moody's Corp,reports,Financials,Diversified Financial Services,"New York, New York",1059556
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1103982
MDT,Medtronic plc,reports,Health Care,Health Care Equipment & Services,"Dublin, Ireland",64670
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",1099219
MHFI,McGraw Hill Financial,reports,Financials,Diversified Financial Services,"New York, New York",64040
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",851968
MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",1452575
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",63754
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",916076
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",62709
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
MNK,Mallinckrodt Plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1567892
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",865752
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",764180
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",1110783
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",1285785
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",1510295
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",310158
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",101778
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",895421
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",789019
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",68505
MTB,M&T Bank Corp.,reports,Financials,Banks,"Buffalo, New York",36270
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",723125
MUR,Murphy Oil,reports,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",717423
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",69499
NAVI,Navient,reports,Financials,Consumer Finance,"Newark, Delaware",1593538
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",72207
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,"New York, New York",1120193
NEE,NextEra Energy,reports,Utilities,MultiUtilities,"Juno Beach, Florida",753308
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,"Denver, Colorado",1164727
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,"Los Gatos, California",1065280
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",912750
NI,NiSource Inc.,reports,Utilities,MultiUtilities,"Merrillville, Indiana",1111711
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",1492633
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1133421
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1021860
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1013871
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",702165
NTAP,NetApp,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",1002047
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",73124
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",73309
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",1045810
NWL,Newell Rubbermaid Co.,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",814453
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,"New York, New York",1564708
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,"New York, New York",1564708
O,Realty Income Corporation,reports,Financials,REITs,"San Diego, California",726728
OI,Owens-Illinois Inc,reports,Materials,Metal & Glass Containers,"Perrysburg, Ohio",812074
OKE,ONEOK,reports,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",1039684
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,"New York, New York",29989
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",1341439
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",898173
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",797468
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,"Penfield, New York",723531
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",1378946
PBI,Pitney-Bowes,reports,Industrials,Office Services & Supplies,"Stamford, Connecticut",78814
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",75362
PCG,PG&E Corp.,reports,Utilities,MultiUtilities,"San Francisco, California",1004980
PCL,Plum Creek Timber Co.,reports,Financials,REITs,"Seattle, Washington",849213
PCLN,Priceline.com Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1075531
PCP,Precision Castparts,reports,Industrials,Industrial Conglomerates,"Portland, Oregon",79958
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,"St. Paul, Minnesota",891024
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",788784
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",77476
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",78003
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,"Des Moines, Iowa",1126328
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",80424
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,"Cleveland, Ohio",76334
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",822416
PKI,PerkinElmer,reports,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",31791
PLD,Prologis,reports,Financials,Diversified Financial Services,"San Francisco, California",1045609
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",1413329
PNC,PNC Financial Services,reports,Financials,Banks,"Pittsburgh, Pennsylvania",713676
PNR,Pentair Ltd.,reports,Industrials,Industrial Conglomerates,"Worsley, U.K",77360
PNW,Pinnacle West Capital,reports,Utilities,MultiUtilities,"Phoenix, Arizona",764622
POM,Pepco Holdings Inc.,reports,Utilities,Electric Utilities,Washington D.C,1135971
PPG,PPG Industries,reports,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",79879
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",922224
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1585364
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,"Newark, New Jersey",1137774
PSA,Public Storage,reports,Financials,REITs,"Glendale, California",1393311
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1534701
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",78239
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,"Houston, Texas",1050915
PX,Praxair Inc.,reports,Materials,Industrial Gases,"Danbury, Connecticut",884905
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1038357
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"Palo Alto, California",1633917
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",804328
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Hillsboro, Oregon",1604778
R,Ryder System,reports,Industrials,Industrial Conglomerates,"Miami, Florida",85961
RAI,Reynolds American Inc.,reports,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",1275283
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",872589
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,"Birmingham, Alabama",1281761
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",315213
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,"Raleigh, North Carolina",1087423
RIG,Transocean,reports,Energy,Oil & Gas Drilling,"Vernier, Switzerland",1451505
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1037038
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",1024478
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",882835
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",745732
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",315852
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",1060391
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1047122
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",829224
SCG,SCANA Corp,reports,Utilities,MultiUtilities,"Cayce, South Carolina",754737
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",316709
SE,Spectra Energy Corp.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1373835
SEE,Sealed Air Corp.(New),reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",1012100
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",89800
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,"Hamilton, Bermuda",832988
SJM,Smucker (J.M.),reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",87347
SLG,SL Green Realty,reports,Financials,Office REITs,"New York, New York",1040971
SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",91440
SNDK,SanDisk Corporation,reports,Information Technology,Computer Storage & Peripherals,"Milpitas, California",1000180
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",1430602
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",92122
SPG,Simon Property Group Inc,reports,Financials,REITs,"Indianapolis, Indiana",1063761
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",791519
SRCL,Stericycle Inc,reports,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",861878
SRE,Sempra Energy,reports,Utilities,MultiUtilities,"San Diego, California",1032208
STI,SunTrust Banks,reports,Financials,Banks,"Atlanta, Georgia",750556
STJ,St Jude Medical,reports,Health Care,Health Care Equipment & Services,"Little Canada, Minnesota",203077
STT,State Street Corp.,reports,Financials,Diversified Financial Services,"Boston, Massachusetts",93751
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",1137789
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",16918
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",93556
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",4127
SWN,Southwestern Energy,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas[6]",7332
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",1601712
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment & Services,"Kalamazoo, Michigan",310764
SYMC,Symantec Corp.,reports,Information Technology,Application Software,"Mountain View, California",849399
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",96021
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",732717
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",24545
TDC,Teradata Corp.,reports,Information Technology,Application Software,"Miamisburg, Ohio",816761
TE,TECO Energy,reports,Utilities,Electric Utilities,"Tampa, Florida",350563
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland",1385157
TGNA,Tegna,reports,Consumer Discretionary,Publishing,"McLean, Virginia",39899
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",27419
THC,Tenet Healthcare Corp.,reports,Health Care,Health Care Facilities,"Dallas, Texas",70318
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",98246
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,"McKinney, Texas",320335
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",97745
TRIP,TripAdvisor,reports,Consumer Discretionary,Internet Retail,"Newton, Massachusetts",1526520
TROW,T. Rowe Price Group,reports,Financials,Diversified Financial Services,"Baltimore, Maryland",1113169
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",86312
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",916365
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493
TSO,Tesoro Petroleum Co.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",50104
TSS,Total System Services,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",721683
TWC,Time Warner Cable Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1377013
TWX,Time Warner Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1105705
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",97476
TXT,Textron Inc.,reports,Industrials,Industrial Conglomerates,"Providence, Rhode Island",217346
TYC,Tyco International,reports,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",833444
UA,Under Armour,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UAL,United Continental Holdings,reports,Industrials,Airlines,"Chicago, Illinois",100517
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766
UNM,Unum Group,reports,Financials,Diversified Financial Services,"Chattanooga, Tennessee",5513
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",100885
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1090727
URBN,Urban Outfitters,reports,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",912615
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701
USB,U.S. Bancorp,reports,Financials,Banks,"Minneapolis, Minnesota",36104
UTX,United Technologies,reports,Industrials,Industrial Conglomerates,"Hartford, Connecticut",101829
V,Visa Inc.,reports,Information Technology,Internet Software & Services,"San Francisco, California",1403161
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment & Services,"Palo Alto, California",203527
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",103379
VIAB,Viacom Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1339947
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",1035002
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1396009
VNO,Vornado Realty Trust,reports,Financials,REITs,"New York, New York",899689
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145
VRSN,Verisign Inc.,reports,Information Technology,Internet Software & Services,"Dulles, Virginia",1014473
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",875320
VTR,Ventas Inc,reports,Financials,Diversified Financial Services,"Chicago, Illinois",740260
VZ,Verizon Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",732712
WAT,Waters Corporation,reports,Health Care,Health Care Distributors & Services,"Milford, Massachusetts",1000697
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",104207
WDC,Western Digital,reports,Information Technology,Computer Storage & Peripherals,"Irvine, California",106040
WEC,Wisconsin Energy Corporation,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325
WFC,Wells Fargo,reports,Financials,Banks,"San Francisco, California",72971
WFM,Whole Foods Market,reports,Consumer Staples,Food Retail,"Austin, Texas",865436
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",106640
WM,Waste Management Inc.,reports,Industrials,Environmental Services,"Houston, Texas",823768
WMB,Williams Cos.,reports,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",107263
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169
WRK,Westrock Co,reports,Materials,Paper Packaging,"Richmond, Virginia",1159297
WU,Western Union Co,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",1365135
WY,Weyerhaeuser Corp.,reports,Financials,REITs,"Federal Way, Washington",106535
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",1361658
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1174922
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",1168054
XEL,Xcel Energy Inc,reports,Utilities,MultiUtilities,"Minneapolis, Minnesota",72903
XL,XL Capital,reports,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",875159
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,"San Jose, California",743988
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",34088
XRAY,Dentsply International,reports,Health Care,Health Care Supplies,"York, Pennsylvania",818479
XRX,Xerox Corp.,reports,Information Technology,IT Consulting & Services,"Norwalk, Connecticut",108772
XYL,Xylem Inc.,reports,Industrials,Industrial Conglomerates,"White Plains, New York",1524472
YHOO,Yahoo Inc.,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",1011006
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment & Services,"Warsaw, Indiana",1136869
ZION,Zions Bancorp,reports,Financials,Banks,"Salt Lake City, Utah",109380
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",1555280
